-,1980s,1990s,2.5d,_two_d,2d_fighter,360_video,_three_d,3d_platformer,3d_vision,4_player_local,4x,6dof,atv,abstract,action,action_rpg,action_adventure,addictive,adventure,agriculture,aliens,alternate_history,america,animation_&_modeling,anime,assassin,asynchronous_multiplayer,atmospheric,audio_production,bmx,base_building,baseball,based_on_a_novel,basketball,batman,battle_royale,beat_em_up,beautiful,benchmark,bikes,blood,board_game,bowling,building,bullet_hell,bullet_time,crpg,capitalism,card_game,cartoon,cartoony,casual,cats,character_action_game,character_customization,chess,choices_matter,choose_your_own_adventure,cinematic,city_builder,class_based,classic,clicker,co_op,co_op_campaign,cold_war,colorful,comedy,comic_book,competitive,conspiracy,controller,conversation,crafting,crime,crowdfunded,cult_classic,cute,cyberpunk,cycling,dark,dark_comedy,dark_humor,dating_sim,demons,design_&_illustration,destruction,detective,difficult,dinosaurs,diplomacy,documentary,dog,dragons,drama,driving,dungeon_crawler,dungeons_&_dragons,dynamic_narration,dystopian_,early_access,economy,education,emotional,epic,episodic,experience,experimental,exploration,fmv,fps,faith,family_friendly,fantasy,fast_paced,feature_film,female_protagonist,fighting,first_person,fishing,flight,football,foreign,free_to_play,funny,futuristic,gambling,game_development,gamemaker,games_workshop,gaming,god_game,golf,gore,gothic,grand_strategy,great_soundtrack,grid_based_movement,gun_customization,hack_and_slash,hacking,hand_drawn,hardware,heist,hex_grid,hidden_object,historical,hockey,horror,horses,hunting,illuminati,indie,intentionally_awkward_controls,interactive_fiction,inventory_management,investigation,isometric,jrpg,jet,kickstarter,lego,lara_croft,lemmings,level_editor,linear,local_co_op,local_multiplayer,logic,loot,lore_rich,lovecraftian,mmorpg,moba,magic,management,mars,martial_arts,massively_multiplayer,masterpiece,match_3,mature,mechs,medieval,memes,metroidvania,military,mini_golf,minigames,minimalist,mining,mod,moddable,modern,motocross,motorbike,mouse_only,movie,multiplayer,multiple_endings,music,music_based_procedural_generation,mystery,mystery_dungeon,mythology,nsfw,narration,naval,ninja,noir,nonlinear,nudity,offroad,old_school,on_rails_shooter,online_co_op,open_world,otome,parkour,parody_,party_based_rpg,perma_death,philisophical,photo_editing,physics,pinball,pirates,pixel_graphics,platformer,point_&_click,political,politics,pool,post_apocalyptic,procedural_generation,programming,psychedelic,psychological,psychological_horror,puzzle,puzzle_platformer,pve,pvp,quick_time_events,rpg,rpgmaker,rts,racing,real_time_tactics,real_time,real_time_with_pause,realistic,relaxing,remake,replay_value,resource_management,retro,rhythm,robots,rogue_like,rogue_lite,romance,rome,runner,sailing,sandbox,satire,sci_fi,science,score_attack,sequel,sexual_content,shoot_em_up,shooter,short,side_scroller,silent_protagonist,simulation,singleplayer,skateboarding,skating,skiing,sniper,snow,snowboarding,soccer,software,software_training,sokoban,souls_like,soundtrack,space,space_sim,spectacle_fighter,spelling,split_screen,sports,star_wars,stealth,steam_machine,steampunk,story_rich,strategy,strategy_rpg,stylized,submarine,superhero,supernatural,surreal,survival,survival_horror,swordplay,tactical,tactical_rpg,tanks,team_based,tennis,text_based,third_person,third_person_shooter,thriller,time_attack,time_management,time_manipulation,time_travel,top_down,top_down_shooter,touch_friendly,tower_defense,trackir,trading,trading_card_game,trains,transhumanism,turn_based,turn_based_combat,turn_based_strategy,turn_based_tactics,tutorial,twin_stick_shooter,typing,underground,underwater,unforgiving,utilities,vr,vr_only,vampire,video_production,villain_protagonist,violent,visual_novel,voice_control,voxel,walking_simulator,war,wargame,warhammer_40k,web_publishing,werewolves,western,word_game,world_war_i,world_war_ii,wrestling,zombies
survival,5,2,4,46,1,0,2,8,11,0,0,1,0,3,387,9,10,0,400,0,20,2,2,1,38,0,0,267,0,0,8,0,5,0,0,1,4,1,0,0,28,1,0,12,5,4,0,0,2,2,5,90,0,0,3,0,7,2,4,1,1,40,3,92,2,4,1,47,3,2,1,5,0,45,5,2,3,18,4,0,135,7,8,15,22,0,0,12,114,4,0,0,2,1,7,0,5,1,0,4,96,2,1,1,0,6,1,8,73,2,119,1,16,19,6,0,65,1,208,0,0,0,1,38,52,10,0,1,2,0,0,0,0,196,4,0,106,1,0,5,3,2,0,1,0,3,5,0,450,2,8,18,433,0,0,7,3,7,2,0,6,0,0,0,2,2,12,1,0,0,6,24,1,0,2,3,3,0,17,7,0,30,0,2,44,4,2,0,0,1,0,4,10,1,0,0,1,2,137,11,0,0,43,2,3,0,6,0,2,2,1,59,0,7,1,48,107,0,8,5,0,18,1,0,4,0,0,39,15,18,1,1,0,46,15,1,7,31,199,79,4,3,12,6,83,25,1,2,0,2,0,18,0,6,20,7,23,0,17,27,10,4,0,0,0,41,0,65,2,0,0,28,4,108,19,8,3,112,282,0,0,0,5,1,0,0,2,2,0,2,2,20,0,0,0,2,5,0,63,1,2,117,70,0,2,0,0,14,17,259,538,0,4,0,0,12,0,0,57,30,13,1,0,1,1,17,10,0,4,0,0,1,0,0,5,2,2,0,0,3,2,2,7,1,0,51,11,6,0,1,157,13,0,1,51,3,0,0,0,0,1,0,0,6,0,138
survival_horror,0,1,1,13,8,0,1,2,1,6,0,4,0,0,72,10,8,3,37,0,0,3,0,0,9,4,0,19,0,0,0,0,0,0,0,1,5,0,0,0,5,0,0,1,1,0,4,0,0,0,1,13,0,5,7,0,10,6,0,1,3,4,0,8,0,0,10,10,0,8,1,8,0,2,0,1,6,3,2,0,1,0,2,1,2,1,1,0,17,0,0,0,0,0,1,0,3,0,2,0,20,3,0,0,0,0,0,0,6,0,10,0,1,15,9,0,8,28,13,0,0,0,0,2,21,1,0,0,1,1,0,0,0,23,0,0,21,0,1,24,0,0,0,0,0,0,16,0,2,1,0,0,57,0,0,1,0,4,3,0,2,0,0,0,1,0,5,11,0,2,1,0,2,1,7,4,0,3,4,2,0,2,1,18,5,0,2,0,0,1,0,1,3,0,0,0,0,0,25,7,0,0,2,0,0,1,0,9,10,0,0,6,0,1,0,3,15,0,4,0,0,2,1,0,6,0,11,7,7,0,0,1,0,1,1,0,0,0,2,3,3,2,12,0,40,0,0,0,0,1,0,6,1,2,10,1,2,0,1,2,2,0,2,0,9,9,0,8,0,0,0,3,0,7,1,3,1,10,32,0,0,0,0,0,0,0,0,0,0,2,0,2,0,5,0,1,7,3,4,0,0,15,13,6,5,1,0,0,1,4,0,80,5,3,0,3,0,0,18,3,0,0,0,0,1,3,0,0,0,0,1,0,0,0,6,4,6,6,0,0,0,0,0,0,0,8,1,1,0,0,24,4,0,2,0,5,2,0,0,0,0,0,0,0,0,2
swordplay,1,5,1,93,1,0,4,0,3,3,35,2,0,4,345,10,6,22,205,2,26,20,6,0,35,7,16,173,0,0,29,0,0,1,0,3,2,1,0,0,2,34,0,17,5,5,25,2,38,8,10,107,1,2,33,6,15,1,3,11,15,97,0,161,3,23,16,32,3,59,2,16,0,8,8,6,5,18,28,0,19,2,6,4,3,3,12,0,131,1,7,0,1,6,2,0,28,1,3,5,122,11,8,0,10,2,0,5,28,0,115,1,21,136,21,0,37,6,104,1,3,3,0,75,55,37,0,0,0,21,0,1,0,39,3,47,147,20,6,5,5,10,0,7,44,1,93,0,25,1,1,3,389,0,0,0,0,65,24,0,25,0,0,1,11,4,9,17,2,12,3,2,7,14,16,29,2,0,63,15,1,3,17,28,4,0,130,0,0,8,1,4,47,7,0,0,10,1,311,6,4,0,2,0,1,0,2,14,4,2,1,14,0,8,0,72,88,0,5,3,23,26,1,0,13,0,3,32,4,1,3,2,0,30,27,1,1,0,5,40,1,16,57,0,214,2,113,1,59,38,41,62,11,8,109,22,34,0,19,40,26,5,10,0,0,62,1,143,2,5,1,5,6,142,10,5,0,215,455,0,0,0,8,0,0,2,0,0,0,0,3,58,2,1,0,0,18,4,53,0,10,88,565,49,9,1,2,0,4,65,4,5,658,66,26,71,0,0,49,32,0,0,1,2,0,30,14,11,34,3,3,18,0,2,263,113,223,177,1,1,0,0,2,2,0,18,5,0,0,2,47,9,2,0,4,166,47,16,0,2,5,0,6,62,0,35
tactical,0,0,1,16,0,0,0,0,0,0,3,1,0,0,26,2,0,1,47,0,0,1,0,0,15,0,1,16,0,0,1,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,10,0,10,0,1,13,0,0,8,0,7,1,0,0,2,13,0,2,0,0,2,9,0,4,0,3,0,0,0,2,3,5,2,0,1,0,0,4,1,0,1,0,17,0,1,0,0,1,1,0,14,2,0,1,17,1,0,0,0,1,0,0,7,0,0,0,1,51,1,0,14,0,1,0,0,0,0,9,11,1,0,0,0,1,0,0,0,6,0,1,29,7,0,0,0,6,0,0,14,0,2,0,0,0,0,0,82,0,0,0,0,14,20,0,6,0,0,0,0,1,0,1,0,6,5,0,1,2,5,3,0,0,3,2,0,1,1,10,1,0,3,0,0,0,0,1,1,0,0,0,2,0,14,2,1,0,0,1,0,0,0,0,0,0,1,4,0,0,0,1,7,0,0,0,11,10,1,0,1,0,1,15,0,0,0,0,0,4,5,0,0,0,0,5,0,0,5,0,98,1,2,0,5,3,8,4,0,1,13,0,7,0,0,9,8,3,0,0,0,2,1,8,0,0,0,0,0,1,1,0,0,8,65,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,3,36,96,43,0,0,2,0,2,1,0,3,66,105,2,1,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,4,0,0,87,49,65,66,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,1,0,1,0,0,0,0,0,3,0,2
tactical_rpg,0,1,0,6,0,0,1,0,0,2,0,0,0,0,76,0,0,0,16,1,1,1,0,0,10,0,0,9,0,0,4,0,0,0,0,0,1,1,0,0,0,1,0,2,3,0,0,0,1,1,2,29,0,0,1,0,0,0,0,0,0,11,1,17,1,1,2,1,0,5,0,3,0,1,0,0,1,1,1,0,0,0,0,2,0,1,10,0,16,0,0,0,0,0,0,0,0,0,2,1,17,0,1,0,3,0,0,0,0,0,17,0,2,0,1,0,2,2,11,0,5,0,0,23,7,3,0,0,0,2,0,0,0,5,0,5,12,0,1,1,0,1,0,1,9,0,24,0,1,0,0,1,52,0,0,0,0,2,1,0,1,0,0,0,2,0,3,3,0,0,0,0,1,1,0,1,0,0,22,1,0,0,2,0,1,0,32,0,0,0,0,0,3,0,0,0,1,0,41,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,6,7,0,0,0,1,0,0,0,5,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,3,11,0,7,0,19,3,8,3,4,16,0,3,5,1,8,0,2,1,1,1,0,0,0,6,0,7,0,2,0,2,7,25,0,1,0,50,42,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,3,64,3,4,0,0,0,1,4,0,0,26,2,114,6,0,0,3,3,0,0,0,0,0,4,5,0,3,3,0,2,0,0,14,5,14,3,0,4,0,0,0,0,0,7,1,0,0,0,5,4,0,1,0,44,12,2,0,0,0,0,3,44,0,3
tanks,3,3,1,14,1,0,1,1,0,14,2,0,0,2,167,7,2,2,61,0,7,0,4,0,9,2,0,40,0,0,3,0,0,0,0,6,2,0,0,1,1,0,0,4,2,0,0,0,2,2,4,40,0,1,8,0,0,0,0,0,21,14,0,125,3,2,7,16,1,60,0,15,0,5,2,0,0,5,0,1,3,1,0,0,1,0,6,0,30,4,0,0,1,0,0,5,1,0,0,0,66,0,1,0,3,0,0,2,5,0,89,0,18,16,41,0,6,6,86,0,9,6,0,51,45,15,0,0,0,1,0,0,0,28,0,0,29,0,2,6,2,1,0,2,0,1,12,0,21,0,2,0,104,0,0,0,0,3,1,0,1,0,0,0,2,1,14,16,0,0,0,1,6,18,2,0,0,0,53,2,0,2,6,3,5,0,34,0,0,3,1,2,16,1,0,0,1,0,163,0,1,0,1,0,1,0,0,3,1,0,0,2,1,2,0,78,34,0,5,0,0,2,0,0,8,0,1,4,6,0,1,0,0,4,4,0,0,0,5,3,1,7,66,0,29,0,11,12,1,5,1,24,0,1,15,2,7,0,10,4,4,0,0,1,1,17,0,36,0,2,0,1,2,104,2,6,0,50,68,0,0,0,1,0,0,7,0,0,0,0,0,19,1,1,0,6,14,1,14,1,6,0,92,1,3,0,1,0,0,37,12,3,71,1,6,184,0,0,26,19,0,1,0,0,0,6,7,1,1,2,3,1,0,0,6,4,4,3,0,2,0,0,3,1,0,8,1,0,0,0,27,0,0,2,4,38,2,1,0,0,1,0,3,10,0,14
team_based,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tennis,2,0,0,42,1,0,0,0,0,0,0,0,0,2,29,0,0,3,165,1,0,0,0,0,4,0,0,19,0,0,1,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,1,0,0,67,0,0,1,0,30,124,0,0,0,1,0,2,0,0,3,5,1,0,0,0,0,1,0,0,0,3,5,0,7,2,0,3,0,0,0,2,7,0,0,0,0,0,2,0,1,0,1,1,5,1,1,2,0,1,1,3,3,0,0,0,30,8,0,0,18,1,3,1,0,0,0,10,5,3,0,1,0,0,0,0,0,5,1,0,5,0,0,0,7,3,0,0,0,1,2,0,14,0,1,2,243,0,65,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,3,3,1,0,2,2,1,1,4,1,0,1,1,1,4,0,0,0,0,2,0,0,0,0,0,0,2,0,1,13,0,0,8,0,0,2,4,0,0,0,2,6,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,7,0,9,1,0,0,1,2,1,0,2,9,23,0,0,0,1,164,0,0,1,0,1,0,1,31,0,3,2,11,0,2,3,1,7,0,0,0,1,0,12,0,0,0,9,0,1,17,0,0,44,61,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,12,0,0,0,1,57,42,2,4,0,5,0,2,2,0,0,0,0,0,0,1,248,0,0,3,0,0,0,0,1,2,1,0,0,0,0,0,0,3,0,4,1,0,0,0,1,0,1,1,0,0,1,0,4,10,29,0,0,2,0,0,0,0,1,2,2,1,0,1,3
text_based,6,20,5,38,1,0,20,52,29,11,0,1,1,2,687,101,74,8,631,5,23,9,5,1,76,33,3,388,0,0,18,0,9,0,9,13,37,17,1,0,20,3,1,35,6,9,3,1,3,4,22,162,1,24,79,1,41,9,20,5,6,128,1,234,3,5,38,139,15,27,15,105,3,50,33,4,23,47,27,0,70,3,24,3,13,0,22,24,127,10,0,0,1,15,10,36,8,2,0,11,130,3,3,9,9,15,3,5,131,2,92,0,73,207,40,0,167,45,133,6,12,0,0,69,177,34,2,0,0,4,3,2,0,133,19,0,322,2,5,117,5,12,0,7,0,9,42,0,119,4,11,13,389,3,1,5,4,15,27,0,18,13,14,0,6,15,52,27,1,13,8,5,36,14,39,10,6,4,83,47,0,44,16,48,29,8,17,1,2,6,5,4,47,8,1,1,1,1,357,21,9,0,55,0,10,1,7,7,18,17,2,72,3,11,1,95,355,0,56,2,6,7,2,0,50,0,13,31,74,64,5,1,0,47,9,0,3,11,35,130,17,17,73,13,271,3,12,44,2,4,8,47,42,24,59,7,44,1,26,8,8,9,3,6,4,161,7,156,1,3,2,21,15,237,36,2,5,143,663,0,0,1,7,2,2,0,0,0,1,14,1,45,9,20,0,15,28,11,105,1,12,285,132,2,23,0,18,13,15,148,57,18,49,1,3,26,0,0,828,206,4,3,0,9,13,16,11,1,14,4,3,0,1,3,16,6,4,4,1,10,0,3,6,2,0,21,3,11,0,8,105,7,1,13,41,34,2,3,0,1,6,0,0,14,0,68
third_person,3,3,0,3,0,0,2,8,13,3,1,1,0,1,328,13,20,6,182,0,18,2,1,0,21,6,0,100,0,0,4,0,1,0,1,19,2,4,0,0,6,0,1,6,6,11,0,0,0,2,5,42,0,6,20,0,7,0,15,0,2,40,0,119,5,2,3,30,3,18,0,24,0,12,23,0,10,4,9,0,19,0,6,2,4,0,12,7,33,8,0,0,1,0,0,13,1,0,0,3,71,0,1,1,3,4,0,2,18,0,88,0,3,15,19,0,50,9,57,0,6,0,0,48,42,20,1,0,0,2,1,0,0,71,2,1,79,0,3,13,4,1,0,4,0,0,4,0,47,1,2,5,147,0,0,1,1,4,1,0,1,0,10,0,1,5,13,10,0,4,0,1,10,7,3,1,4,2,43,16,0,24,22,1,11,2,11,0,0,1,0,2,16,3,0,0,0,0,178,1,2,0,7,0,0,2,2,2,2,5,1,26,0,4,1,49,113,0,15,2,0,2,0,0,11,0,1,3,15,1,2,0,0,21,2,0,1,1,8,22,3,11,45,6,63,0,2,12,2,1,2,5,2,6,17,1,5,0,22,3,4,4,0,0,1,54,3,83,0,4,1,12,8,240,6,1,2,30,197,0,0,0,10,0,0,1,0,0,0,1,0,22,4,2,0,7,4,4,40,0,1,64,56,0,2,0,3,3,1,76,30,3,32,0,3,19,0,0,206,335,2,1,0,3,1,3,5,1,8,2,0,1,1,1,0,0,1,0,1,6,0,0,3,0,0,6,1,2,0,1,64,4,1,0,4,16,0,2,0,0,6,0,0,11,0,48
third_person_shooter,3,2,1,12,0,0,2,1,0,0,0,0,0,0,19,0,1,1,66,0,0,1,0,0,11,0,0,45,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,20,0,0,0,0,15,0,2,0,0,5,0,2,0,0,2,5,0,1,2,2,0,0,5,0,0,1,1,0,21,1,2,2,1,0,0,9,12,0,0,0,0,0,10,0,0,0,1,1,2,0,1,2,0,2,0,3,17,0,3,0,0,1,0,0,10,0,25,0,0,0,1,3,5,0,0,0,1,0,0,0,0,16,0,1,25,0,0,0,2,0,0,0,0,3,2,0,51,0,0,3,65,0,6,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,7,0,0,37,2,0,0,6,0,0,1,0,7,0,2,0,0,7,1,0,0,0,0,1,0,1,0,0,10,0,15,1,1,0,1,0,0,4,14,33,28,2,0,1,0,4,5,0,1,0,0,0,2,2,0,3,1,8,0,1,0,0,4,0,0,0,0,2,16,2,0,0,4,0,5,7,1,1,10,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,42,9,0,1,0,0,9,6,8,13,0,0,0,0,0,0,3,4,2,75,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,15,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0
thriller,1,1,2,25,0,0,2,6,1,8,0,0,0,3,53,0,3,0,20,0,2,0,0,0,4,1,0,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,1,20,0,1,0,0,0,0,0,0,0,5,0,4,0,0,11,4,1,8,0,16,0,0,0,1,0,3,2,0,1,0,1,0,2,0,2,0,37,1,0,0,0,0,0,4,0,0,0,2,11,0,2,0,1,0,0,1,4,0,2,0,8,3,26,0,8,1,4,0,2,0,0,1,10,5,0,0,1,0,0,0,0,4,0,0,29,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,57,0,0,0,0,2,0,0,0,0,0,0,10,0,7,11,0,1,0,1,0,0,1,0,0,0,2,2,0,0,1,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,12,1,3,0,0,0,0,1,1,0,1,0,0,1,1,2,0,1,0,0,8,2,0,0,0,0,9,1,0,10,29,0,0,0,0,0,5,0,0,0,2,12,10,1,0,0,0,0,0,20,0,1,0,1,1,1,17,0,16,2,1,1,1,0,0,0,0,2,0,9,1,9,0,0,2,3,2,11,0,12,40,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,8,9,0,1,0,0,5,3,0,6,0,1,0,0,3,1,0,0,0,0,1,0,0,3,1,0,65,0,1,2,7,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
time_attack,0,0,0,5,0,0,0,0,0,1,1,0,0,0,5,0,0,1,45,5,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,1,1,1,107,1,0,0,0,0,0,0,2,0,0,1,2,1,0,2,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,1,0,0,0,10,2,2,0,15,0,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,52,0,0,1,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,15,0,0,0,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,5,0,0,2,0,3,0,1,0,0,1,1,0,6,0,3,15,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,50,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,67,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,113,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
time_management,1,1,0,17,0,0,0,1,0,0,0,0,0,3,34,0,1,1,32,0,0,1,0,1,4,1,0,18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5,12,0,0,0,1,2,12,0,1,2,0,2,0,1,0,0,6,1,3,0,0,0,6,0,1,0,9,0,0,0,0,0,3,3,0,2,0,1,0,0,0,1,1,9,1,0,0,0,0,1,0,1,0,0,1,7,1,2,0,0,2,0,2,4,0,9,1,5,5,3,0,10,0,10,0,0,0,0,0,5,2,1,0,0,0,0,0,0,6,0,0,17,0,1,5,0,0,0,0,1,0,0,0,3,0,0,0,41,0,1,0,0,0,0,0,1,0,0,0,4,0,1,1,1,1,0,0,0,0,1,2,0,0,0,2,0,0,1,1,1,5,0,0,0,2,0,0,1,1,0,0,2,0,6,3,1,0,5,0,0,0,0,0,3,1,1,2,0,0,0,1,4,0,5,0,0,0,0,0,5,0,0,8,18,1,0,0,0,0,0,0,1,1,0,20,9,0,0,0,4,1,1,0,0,2,0,1,1,0,5,0,4,0,0,0,1,0,0,0,0,1,0,16,3,1,0,1,3,11,6,4,0,7,33,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,1,0,4,0,1,14,11,0,1,0,1,0,4,0,1,0,2,0,0,0,0,0,9,3,0,1,0,51,18,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5,2,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
time_manipulation,0,4,0,22,0,0,1,1,1,0,0,0,0,2,30,3,1,0,59,0,0,2,0,0,12,0,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,4,0,1,0,2,7,20,0,0,0,0,8,4,4,0,0,17,2,1,0,0,2,14,2,0,0,5,0,1,0,1,4,1,1,0,5,0,4,3,1,0,1,3,7,2,0,0,0,0,3,1,1,0,1,2,3,0,1,0,0,6,0,0,5,1,7,0,6,12,2,0,13,0,9,0,1,0,0,3,19,2,0,1,0,0,0,0,0,9,1,0,34,0,0,4,0,7,0,0,0,5,1,0,9,0,0,0,48,0,2,0,1,1,3,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,2,1,8,9,1,0,16,0,1,0,0,0,0,0,0,2,0,1,0,0,4,2,3,1,0,0,0,0,0,0,0,7,13,20,0,0,0,1,0,0,0,1,6,23,3,0,0,1,13,2,2,0,0,1,2,1,3,6,5,0,9,0,2,1,0,5,0,0,0,1,0,26,3,0,0,2,1,9,4,3,0,6,52,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,2,42,9,0,0,0,1,2,0,3,1,1,0,0,0,0,0,0,13,1,1,2,0,18,70,1,1,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,4,2,0,0,0,6,8,0,2,5,1,0,0,0,0,0,0,1,1,0,1
time_travel,13,2,2,190,1,0,4,2,0,30,1,0,0,6,371,46,27,23,173,1,23,2,0,0,23,3,3,96,1,0,15,0,0,0,0,3,9,4,0,0,6,2,0,16,55,8,4,2,3,8,12,130,0,5,14,1,10,2,1,4,5,27,6,87,3,0,39,23,1,24,1,55,0,26,7,6,6,25,23,0,21,0,4,0,3,2,17,0,153,3,0,0,0,0,1,6,42,0,0,7,73,5,7,1,2,0,0,7,43,0,2,1,35,63,54,0,31,7,2,2,6,2,0,20,49,16,0,1,12,0,0,2,0,53,4,0,141,5,3,45,1,7,0,3,5,1,5,0,41,0,2,2,441,0,3,5,1,45,6,0,7,0,1,0,10,4,65,48,3,20,3,5,0,3,11,10,1,2,6,3,0,4,10,11,5,2,4,0,2,26,0,0,15,0,0,0,10,0,98,5,7,0,12,0,4,0,0,4,7,1,1,7,1,8,0,28,54,0,1,1,0,40,1,0,8,0,2,102,6,3,3,1,0,20,56,1,6,6,2,47,2,7,12,1,148,4,22,28,8,12,17,2,23,5,68,10,95,2,12,81,69,0,0,1,0,34,2,106,2,17,1,4,60,129,13,10,6,54,277,0,0,0,0,0,0,2,0,0,2,6,2,49,5,5,0,5,11,0,25,0,7,34,124,4,19,1,1,0,10,77,17,3,30,0,4,6,0,1,16,3,1,7,1,1,1,475,139,7,25,0,2,2,1,1,23,8,14,6,7,79,2,1,1,1,0,5,0,4,0,5,52,3,0,5,4,9,3,0,0,1,1,0,0,5,0,55
